time,gFx,gFy,gFz,TgF
42.0780,0.1052,-0.0679,0.9944,1.002
42.0780,0.1037,-0.0688,0.9915,0.999
42.0830,0.1032,-0.0679,0.9905,0.998
42.0870,0.1027,-0.0698,0.9901,0.998
42.0870,0.1057,-0.0669,0.9891,0.997
42.0910,0.1052,-0.0659,0.9905,0.998
42.0960,0.1037,-0.0659,0.9881,0.996
42.0970,0.1027,-0.0664,0.9881,0.996
42.0980,0.1027,-0.0674,0.9876,0.995
42.1010,0.1022,-0.0674,0.9901,0.998
42.1150,0.1022,-0.0679,0.9915,0.999
42.1160,0.1003,-0.0674,0.9944,1.002
42.1170,0.1013,-0.0674,0.9949,1.002
42.1180,0.1022,-0.0659,0.9979,1.005
42.1180,0.1027,-0.0679,0.9984,1.006
42.1190,0.1013,-0.0679,0.9974,1.005
42.1220,0.1022,-0.0669,0.9969,1.004
42.1240,0.1032,-0.0654,0.9940,1.001
42.1240,0.1027,-0.0654,0.9886,0.996
42.1310,0.1022,-0.0635,0.9857,0.993
42.1310,0.1032,-0.0630,0.9827,0.990
42.1310,0.1037,-0.0600,0.9788,0.986
42.1320,0.1037,-0.0610,0.9744,0.982
42.1340,0.1047,-0.0605,0.9720,0.979
42.1380,0.1047,-0.0610,0.9734,0.981
42.1380,0.1027,-0.0620,0.9749,0.982
42.1450,0.1018,-0.0635,0.9754,0.983
42.1460,0.1003,-0.0635,0.9759,0.983
42.1470,0.0988,-0.0649,0.9808,0.988
42.1510,0.0978,-0.0659,0.9822,0.989
42.1510,0.0964,-0.0679,0.9847,0.992
42.1590,0.0969,-0.0688,0.9857,0.993
42.1660,0.0939,-0.0688,0.9886,0.995
42.1670,0.0925,-0.0688,0.9896,0.996
42.1670,0.0915,-0.0688,0.9901,0.997
42.1670,0.0910,-0.0683,0.9901,0.997
42.1680,0.0925,-0.0669,0.9886,0.995
42.1740,0.0910,-0.0659,0.9881,0.994
42.1740,0.0910,-0.0649,0.9866,0.993
42.1770,0.0910,-0.0635,0.9857,0.992
42.1770,0.0905,-0.0635,0.9861,0.992
42.1810,0.0915,-0.0654,0.9886,0.995
42.1810,0.0895,-0.0659,0.9881,0.994
42.1850,0.0900,-0.0679,0.9886,0.995
42.1850,0.0915,-0.0669,0.9886,0.995
42.1900,0.0910,-0.0664,0.9910,0.997
42.1960,0.0925,-0.0649,0.9925,0.999
42.1970,0.0934,-0.0649,0.9935,1.000
42.1970,0.0949,-0.0659,0.9925,0.999
42.1990,0.0949,-0.0664,0.9944,1.001
42.2030,0.0954,-0.0635,0.9930,1.000
42.2040,0.0954,-0.0649,0.9910,0.998
42.2080,0.0974,-0.0635,0.9901,0.997
42.2080,0.0998,-0.0620,0.9852,0.992
42.2220,0.1003,-0.0610,0.9788,0.986
42.2230,0.1037,-0.0586,0.9769,0.984
42.2230,0.1037,-0.0591,0.9749,0.982
42.2230,0.1032,-0.0610,0.9725,0.980
42.2230,0.1022,-0.0600,0.9710,0.978
42.2250,0.1022,-0.0605,0.9715,0.979
42.2250,0.1003,-0.0615,0.9734,0.981
42.2300,0.1008,-0.0639,0.9720,0.979
42.2300,0.1003,-0.0639,0.9734,0.981
42.2340,0.0993,-0.0639,0.9720,0.979
42.2360,0.0978,-0.0644,0.9749,0.982
42.2390,0.0978,-0.0664,0.9783,0.985
42.2430,0.0959,-0.0654,0.9798,0.987
42.2460,0.0934,-0.0683,0.9813,0.988
42.2470,0.0930,-0.0683,0.9817,0.989
42.2480,0.0925,-0.0679,0.9817,0.988
42.2530,0.0934,-0.0688,0.9817,0.989
42.2530,0.0905,-0.0698,0.9832,0.990
42.2550,0.0900,-0.0693,0.9852,0.992
42.2590,0.0920,-0.0688,0.9852,0.992
42.2620,0.0930,-0.0723,0.9866,0.994
42.2650,0.0910,-0.0727,0.9866,0.993
42.2650,0.0905,-0.0718,0.9871,0.994
42.2690,0.0920,-0.0713,0.9901,0.997
42.2700,0.0915,-0.0718,0.9930,1.000
42.2780,0.0925,-0.0708,0.9920,0.999
42.2790,0.0925,-0.0703,0.9910,0.998
42.2790,0.0915,-0.0713,0.9915,0.998
42.2820,0.0915,-0.0713,0.9920,0.999
42.2850,0.0930,-0.0693,0.9935,1.000
42.2870,0.0930,-0.0698,0.9896,0.996
42.2900,0.0934,-0.0683,0.9886,0.995
42.2910,0.0964,-0.0693,0.9857,0.993
42.2950,0.0983,-0.0669,0.9822,0.989
42.2960,0.0964,-0.0644,0.9783,0.985
42.2980,0.0983,-0.0644,0.9769,0.984
42.3000,0.0983,-0.0639,0.9759,0.983
42.3030,0.0983,-0.0644,0.9749,0.982
42.3120,0.0993,-0.0649,0.9744,0.982
42.3130,0.0974,-0.0674,0.9710,0.978
42.3130,0.0978,-0.0659,0.9725,0.980
42.3140,0.0983,-0.0674,0.9749,0.982
42.3170,0.0978,-0.0664,0.9759,0.983
42.3210,0.0959,-0.0669,0.9759,0.983
42.3210,0.0949,-0.0659,0.9788,0.986
42.3310,0.0939,-0.0659,0.9808,0.987
42.3310,0.0925,-0.0688,0.9788,0.986
42.3320,0.0930,-0.0664,0.9788,0.985
42.3320,0.0910,-0.0659,0.9773,0.984
42.3360,0.0905,-0.0659,0.9749,0.981
42.3360,0.0910,-0.0649,0.9715,0.978
42.3400,0.0895,-0.0644,0.9710,0.977
42.3410,0.0876,-0.0669,0.9715,0.978
42.3480,0.0861,-0.0679,0.9744,0.981
42.3490,0.0861,-0.0674,0.9749,0.981
42.3490,0.0847,-0.0679,0.9739,0.980
42.3580,0.0856,-0.0669,0.9764,0.982
42.3590,0.0876,-0.0669,0.9778,0.984
42.3590,0.0861,-0.0669,0.9783,0.984
42.3650,0.0871,-0.0679,0.9813,0.987
42.3650,0.0856,-0.0674,0.9788,0.985
42.3650,0.0871,-0.0688,0.9793,0.986
42.3700,0.0871,-0.0683,0.9793,0.986
42.3710,0.0886,-0.0669,0.9798,0.986
42.3710,0.0881,-0.0664,0.9778,0.984
42.3760,0.0890,-0.0674,0.9749,0.981
42.3760,0.0920,-0.0664,0.9754,0.982
42.3790,0.0920,-0.0654,0.9744,0.981
42.3820,0.0920,-0.0664,0.9739,0.981
42.3820,0.0925,-0.0669,0.9773,0.984
42.3870,0.0915,-0.0683,0.9808,0.987
42.3880,0.0910,-0.0703,0.9813,0.988
42.3920,0.0930,-0.0693,0.9827,0.990
42.3940,0.0934,-0.0698,0.9857,0.993
42.3970,0.0925,-0.0703,0.9876,0.994
42.4000,0.0920,-0.0703,0.9881,0.995
42.4020,0.0925,-0.0708,0.9896,0.996
42.4040,0.0910,-0.0727,0.9896,0.996
42.4140,0.0890,-0.0718,0.9896,0.996
42.4140,0.0895,-0.0718,0.9881,0.995
42.4140,0.0915,-0.0693,0.9857,0.992
42.4150,0.0925,-0.0698,0.9822,0.989
42.4150,0.0910,-0.0683,0.9788,0.985
42.4180,0.0920,-0.0693,0.9749,0.982
42.4340,0.0925,-0.0669,0.9739,0.981
42.4340,0.0910,-0.0669,0.9734,0.980
42.4340,0.0915,-0.0693,0.9720,0.979
42.4350,0.0910,-0.0679,0.9754,0.982
42.4350,0.0920,-0.0674,0.9778,0.984
42.4350,0.0910,-0.0674,0.9759,0.982
42.4390,0.0920,-0.0654,0.9773,0.984
42.4390,0.0910,-0.0644,0.9783,0.985
42.4420,0.0930,-0.0649,0.9793,0.986
42.4440,0.0930,-0.0659,0.9813,0.988
42.4450,0.0920,-0.0669,0.9803,0.987
42.4490,0.0925,-0.0649,0.9803,0.987
42.4500,0.0930,-0.0635,0.9788,0.985
42.4530,0.0934,-0.0615,0.9773,0.984
42.4610,0.0925,-0.0625,0.9749,0.981
42.4620,0.0920,-0.0605,0.9729,0.979
42.4620,0.0925,-0.0620,0.9725,0.979
42.4660,0.0920,-0.0625,0.9720,0.978
42.4660,0.0886,-0.0620,0.9725,0.978
42.4700,0.0871,-0.0639,0.9744,0.980
42.4750,0.0866,-0.0630,0.9754,0.981
42.4790,0.0866,-0.0674,0.9783,0.984
42.4790,0.0847,-0.0664,0.9798,0.986
42.4800,0.0847,-0.0659,0.9817,0.988
42.4800,0.0837,-0.0669,0.9847,0.990
42.4850,0.0812,-0.0664,0.9876,0.993
42.4850,0.0803,-0.0683,0.9861,0.992
42.4890,0.0807,-0.0693,0.9852,0.991
42.4960,0.0812,-0.0683,0.9827,0.988
42.4960,0.0837,-0.0649,0.9803,0.986
42.4970,0.0832,-0.0649,0.9798,0.985
42.5010,0.0837,-0.0639,0.9793,0.985
42.5020,0.0842,-0.0625,0.9759,0.981
42.5050,0.0881,-0.0615,0.9778,0.984
42.5060,0.0866,-0.0605,0.9803,0.986
42.5160,0.0861,-0.0600,0.9803,0.986
42.5160,0.0876,-0.0625,0.9803,0.986
42.5170,0.0910,-0.0620,0.9832,0.989
42.5170,0.0934,-0.0615,0.9866,0.993
42.5210,0.0930,-0.0630,0.9876,0.994
42.5360,0.0934,-0.0625,0.9896,0.996
42.5370,0.0959,-0.0635,0.9910,0.998
42.5370,0.0983,-0.0615,0.9944,1.001
42.5370,0.0988,-0.0610,0.9944,1.001
42.5380,0.0969,-0.0610,0.9935,1.000
42.5380,0.0988,-0.0615,0.9896,0.996
42.5430,0.1013,-0.0595,0.9871,0.994
42.5470,0.1003,-0.0581,0.9827,0.990
42.5470,0.0993,-0.0566,0.9783,0.985
42.5470,0.1003,-0.0561,0.9773,0.984
42.5480,0.1022,-0.0561,0.9764,0.983
42.5480,0.0998,-0.0561,0.9778,0.985
42.5510,0.0969,-0.0571,0.9754,0.982
42.5540,0.0954,-0.0586,0.9744,0.981
42.5600,0.0964,-0.0581,0.9759,0.982
42.5600,0.0978,-0.0586,0.9769,0.983
42.5600,0.0944,-0.0605,0.9769,0.983
42.5660,0.0930,-0.0610,0.9793,0.986
42.5660,0.0920,-0.0620,0.9817,0.988
42.5690,0.0900,-0.0625,0.9832,0.989
42.5710,0.0900,-0.0635,0.9832,0.989
42.5740,0.0876,-0.0630,0.9817,0.988
42.5750,0.0871,-0.0625,0.9813,0.987
42.5780,0.0876,-0.0639,0.9803,0.986
42.5810,0.0881,-0.0620,0.9783,0.984
42.5820,0.0886,-0.0615,0.9769,0.983
42.5860,0.0890,-0.0620,0.9773,0.983
42.5910,0.0881,-0.0649,0.9783,0.984
42.5910,0.0886,-0.0654,0.9813,0.987
42.5940,0.0895,-0.0635,0.9832,0.989
42.5940,0.0895,-0.0639,0.9842,0.990
42.5980,0.0920,-0.0635,0.9881,0.994
42.6010,0.0939,-0.0654,0.9896,0.996
42.6030,0.0934,-0.0654,0.9896,0.996
42.6090,0.0949,-0.0654,0.9925,0.999
42.6090,0.0959,-0.0625,0.9964,1.003
42.6100,0.0954,-0.0625,0.9949,1.001
42.6170,0.0964,-0.0625,0.9915,0.998
42.6170,0.0998,-0.0615,0.9910,0.998
42.6190,0.1008,-0.0610,0.9861,0.993
42.6200,0.1027,-0.0595,0.9847,0.992
42.6290,0.1042,-0.0586,0.9803,0.988
42.6290,0.1042,-0.0591,0.9778,0.985
42.6290,0.1052,-0.0576,0.9773,0.985
42.6300,0.1042,-0.0576,0.9759,0.983
42.6340,0.1037,-0.0591,0.9749,0.982
42.6360,0.1047,-0.0581,0.9769,0.984
42.6400,0.1042,-0.0591,0.9793,0.987
42.6410,0.1042,-0.0600,0.9788,0.986
42.6430,0.1047,-0.0610,0.9793,0.987
42.6450,0.1037,-0.0610,0.9822,0.990
42.6480,0.1032,-0.0620,0.9847,0.992
42.6510,0.1027,-0.0644,0.9852,0.993
42.6520,0.1018,-0.0635,0.9861,0.993
42.6570,0.1037,-0.0615,0.9852,0.993
42.6610,0.1042,-0.0630,0.9803,0.988
42.6610,0.1047,-0.0630,0.9778,0.985
42.6640,0.1037,-0.0610,0.9744,0.982
42.6640,0.1032,-0.0615,0.9744,0.982
42.6690,0.1042,-0.0625,0.9729,0.981
42.6730,0.1027,-0.0644,0.9734,0.981
42.6730,0.1008,-0.0654,0.9754,0.983
42.6800,0.1008,-0.0669,0.9778,0.985
42.6810,0.1003,-0.0679,0.9808,0.988
42.6810,0.0998,-0.0688,0.9817,0.989
42.6850,0.1008,-0.0688,0.9852,0.993
42.6850,0.1018,-0.0703,0.9876,0.995
42.6920,0.0998,-0.0708,0.9910,0.999
42.6930,0.0998,-0.0693,0.9930,1.000
42.6930,0.0998,-0.0688,0.9925,1.000
42.6960,0.1018,-0.0679,0.9896,0.997
42.7010,0.1022,-0.0654,0.9857,0.993
42.7010,0.1018,-0.0639,0.9813,0.989
42.7050,0.1037,-0.0635,0.9764,0.984
42.7050,0.1042,-0.0635,0.9739,0.982
42.7160,0.1047,-0.0625,0.9710,0.979
42.7160,0.1032,-0.0625,0.9725,0.980
42.7170,0.1027,-0.0635,0.9720,0.979
42.7200,0.1022,-0.0644,0.9739,0.981
42.7210,0.1042,-0.0635,0.9783,0.986
42.7210,0.1047,-0.0654,0.9827,0.990
42.7220,0.1032,-0.0664,0.9842,0.992
42.7340,0.1027,-0.0635,0.9861,0.994
42.7340,0.1032,-0.0635,0.9896,0.997
42.7350,0.1018,-0.0635,0.9901,0.997
42.7350,0.1013,-0.0644,0.9910,0.998
42.7350,0.1022,-0.0649,0.9881,0.995
42.7430,0.1022,-0.0659,0.9837,0.991
42.7440,0.1042,-0.0635,0.9832,0.991
42.7440,0.1022,-0.0625,0.9817,0.989
42.7450,0.1018,-0.0630,0.9778,0.985
42.7470,0.1022,-0.0630,0.9749,0.982
42.7510,0.1027,-0.0620,0.9739,0.981
42.7520,0.0998,-0.0615,0.9759,0.983
42.7590,0.0988,-0.0625,0.9764,0.983
42.7590,0.0993,-0.0625,0.9764,0.983
42.7600,0.0983,-0.0630,0.9793,0.986
42.7620,0.0978,-0.0630,0.9793,0.986
42.7650,0.0974,-0.0630,0.9798,0.987
42.7670,0.0969,-0.0659,0.9842,0.991
42.7700,0.0983,-0.0674,0.9847,0.992
42.7730,0.0969,-0.0698,0.9861,0.993
42.7740,0.0964,-0.0679,0.9866,0.994
42.7810,0.0974,-0.0679,0.9842,0.991
42.7810,0.0969,-0.0688,0.9803,0.987
42.7810,0.0983,-0.0674,0.9764,0.984
42.7850,0.0974,-0.0659,0.9754,0.982
42.7890,0.0974,-0.0669,0.9749,0.982
42.7890,0.0988,-0.0693,0.9754,0.983
42.7920,0.0988,-0.0698,0.9773,0.985
42.7940,0.0974,-0.0727,0.9788,0.986
42.7970,0.0998,-0.0713,0.9827,0.990
42.7980,0.1008,-0.0732,0.9886,0.996
42.8030,0.0993,-0.0732,0.9930,1.001
42.8110,0.1003,-0.0723,0.9954,1.003
42.8120,0.1013,-0.0737,0.9974,1.005
42.8120,0.1013,-0.0752,1.0008,1.009
42.8120,0.1027,-0.0762,1.0032,1.011
42.8170,0.1022,-0.0742,1.0057,1.014
42.8170,0.1052,-0.0732,1.0062,1.014
42.8280,0.1052,-0.0723,1.0047,1.013
42.8280,0.1071,-0.0708,0.9993,1.008
42.8290,0.1076,-0.0688,0.9959,1.004
42.8290,0.1096,-0.0693,0.9920,1.000
42.8290,0.1110,-0.0688,0.9861,0.995
42.8370,0.1105,-0.0659,0.9817,0.990
42.8370,0.1120,-0.0664,0.9798,0.988
42.8400,0.1110,-0.0649,0.9769,0.985
42.8420,0.1140,-0.0649,0.9754,0.984
42.8430,0.1154,-0.0664,0.9759,0.985
42.8430,0.1145,-0.0679,0.9778,0.987
42.8470,0.1130,-0.0664,0.9793,0.988
42.8490,0.1135,-0.0693,0.9837,0.993
42.8520,0.1130,-0.0688,0.9842,0.993
42.8560,0.1115,-0.0693,0.9866,0.995
42.8590,0.1105,-0.0698,0.9876,0.996
42.8600,0.1105,-0.0688,0.9861,0.995
42.8630,0.1091,-0.0683,0.9871,0.995
42.8640,0.1091,-0.0664,0.9861,0.994
42.8680,0.1091,-0.0654,0.9837,0.992
42.8710,0.1105,-0.0644,0.9822,0.991
42.8710,0.1096,-0.0649,0.9813,0.989
42.8770,0.1091,-0.0654,0.9803,0.988
42.8780,0.1062,-0.0674,0.9793,0.987
42.8780,0.1057,-0.0649,0.9778,0.986
42.8850,0.1057,-0.0644,0.9798,0.988
42.8860,0.1047,-0.0654,0.9798,0.988
42.8860,0.1027,-0.0664,0.9837,0.991
42.8950,0.1003,-0.0674,0.9842,0.992
42.8950,0.0983,-0.0679,0.9871,0.994
42.8960,0.0988,-0.0693,0.9876,0.995
42.8960,0.0978,-0.0713,0.9905,0.998
42.8990,0.0978,-0.0703,0.9930,1.000
42.9020,0.0983,-0.0698,0.9920,0.999
42.9150,0.0993,-0.0679,0.9871,0.994
42.9150,0.0983,-0.0679,0.9827,0.990
42.9160,0.0974,-0.0683,0.9788,0.986
42.9160,0.0978,-0.0654,0.9734,0.981
42.9160,0.0974,-0.0659,0.9690,0.976
42.9170,0.0978,-0.0669,0.9671,0.974
42.9190,0.0974,-0.0674,0.9690,0.976
42.9220,0.0983,-0.0679,0.9695,0.977
42.9250,0.0969,-0.0688,0.9720,0.979
42.9260,0.0959,-0.0703,0.9749,0.982
42.9290,0.0944,-0.0708,0.9769,0.984
42.9310,0.0949,-0.0718,0.9817,0.989
42.9350,0.0949,-0.0742,0.9876,0.995
42.9380,0.0949,-0.0732,0.9881,0.995
42.9380,0.0939,-0.0727,0.9891,0.996
42.9400,0.0930,-0.0727,0.9915,0.999
42.9420,0.0954,-0.0727,0.9905,0.998
42.9470,0.0954,-0.0713,0.9881,0.995
42.9490,0.0949,-0.0698,0.9847,0.992
42.9510,0.0964,-0.0688,0.9827,0.990
42.9540,0.0969,-0.0674,0.9764,0.983
42.9560,0.0959,-0.0669,0.9739,0.981
42.9580,0.0988,-0.0674,0.9700,0.977
42.9610,0.0993,-0.0679,0.9695,0.977
42.9640,0.1018,-0.0679,0.9686,0.976
42.9660,0.1003,-0.0679,0.9715,0.979
42.9690,0.0988,-0.0674,0.9754,0.983
42.9700,0.0974,-0.0683,0.9773,0.985
42.9730,0.0974,-0.0683,0.9808,0.988
42.9760,0.0964,-0.0708,0.9837,0.991
42.9790,0.0959,-0.0708,0.9847,0.992
42.9810,0.0974,-0.0718,0.9866,0.994
42.9830,0.0954,-0.0713,0.9857,0.993
42.9860,0.0954,-0.0718,0.9847,0.992
42.9880,0.0954,-0.0708,0.9861,0.993
42.9910,0.0930,-0.0713,0.9832,0.990
42.9930,0.0939,-0.0718,0.9832,0.990
42.9970,0.0925,-0.0727,0.9827,0.990
42.9980,0.0915,-0.0718,0.9817,0.989
43.0000,0.0920,-0.0703,0.9822,0.989
43.0040,0.0934,-0.0679,0.9817,0.989
43.0060,0.0930,-0.0679,0.9813,0.988
43.0080,0.0915,-0.0693,0.9847,0.991
43.0120,0.0915,-0.0708,0.9847,0.991
43.0140,0.0915,-0.0703,0.9871,0.994
43.0160,0.0900,-0.0693,0.9876,0.994
43.0190,0.0900,-0.0698,0.9876,0.994
43.0210,0.0920,-0.0669,0.9891,0.996
43.0220,0.0939,-0.0669,0.9891,0.996
43.0270,0.0959,-0.0664,0.9891,0.996
43.0290,0.0954,-0.0659,0.9891,0.996
43.0310,0.0954,-0.0644,0.9871,0.994
43.0330,0.0959,-0.0635,0.9842,0.991
43.0360,0.0974,-0.0639,0.9837,0.991
43.0370,0.0974,-0.0644,0.9803,0.987
43.0430,0.1003,-0.0644,0.9773,0.985
43.0430,0.1022,-0.0625,0.9773,0.985
43.0460,0.1022,-0.0625,0.9759,0.983
43.0490,0.1022,-0.0615,0.9778,0.985
43.0510,0.1003,-0.0615,0.9808,0.988
43.0550,0.0988,-0.0635,0.9817,0.989
43.0550,0.1008,-0.0654,0.9842,0.991
43.0580,0.1003,-0.0659,0.9871,0.994
43.0600,0.1003,-0.0669,0.9871,0.994
43.0620,0.0998,-0.0669,0.9881,0.995
43.0660,0.0998,-0.0669,0.9871,0.994
43.0680,0.0988,-0.0664,0.9847,0.992
43.0700,0.0978,-0.0669,0.9837,0.991
43.0730,0.0969,-0.0674,0.9822,0.989
43.0750,0.0944,-0.0669,0.9778,0.985
43.0780,0.0944,-0.0688,0.9744,0.981
43.0810,0.0930,-0.0698,0.9720,0.979
43.0830,0.0925,-0.0688,0.9690,0.976
43.0880,0.0915,-0.0683,0.9676,0.974
43.0890,0.0910,-0.0688,0.9671,0.974
43.0920,0.0890,-0.0688,0.9690,0.976
43.0920,0.0890,-0.0703,0.9710,0.978
43.0970,0.0881,-0.0718,0.9720,0.979
43.0980,0.0861,-0.0727,0.9729,0.979
43.1010,0.0866,-0.0727,0.9769,0.983
43.1090,0.0866,-0.0732,0.9783,0.985
43.1100,0.0871,-0.0713,0.9783,0.985
43.1100,0.0890,-0.0708,0.9803,0.987
43.1100,0.0890,-0.0708,0.9793,0.986
43.1130,0.0881,-0.0698,0.9813,0.988
43.1170,0.0881,-0.0693,0.9793,0.986
43.1180,0.0886,-0.0679,0.9773,0.984
43.1260,0.0895,-0.0664,0.9734,0.980
43.1260,0.0910,-0.0644,0.9710,0.977
43.1260,0.0920,-0.0630,0.9700,0.976
43.1290,0.0934,-0.0644,0.9710,0.978
43.1300,0.0939,-0.0639,0.9710,0.978
43.1330,0.0944,-0.0630,0.9720,0.979
43.1370,0.0944,-0.0630,0.9739,0.981
43.1380,0.0934,-0.0635,0.9764,0.983
43.1440,0.0934,-0.0635,0.9778,0.984
43.1440,0.0964,-0.0635,0.9783,0.985
43.1450,0.0964,-0.0635,0.9798,0.987
43.1490,0.0964,-0.0630,0.9803,0.987
43.1510,0.0978,-0.0625,0.9788,0.986
43.1560,0.0974,-0.0605,0.9793,0.986
43.1560,0.0969,-0.0595,0.9793,0.986
43.1600,0.0944,-0.0605,0.9778,0.984
43.1600,0.0949,-0.0595,0.9764,0.983
43.1640,0.0949,-0.0586,0.9769,0.983
43.1660,0.0954,-0.0586,0.9773,0.984
43.1670,0.0939,-0.0581,0.9759,0.982
43.1720,0.0939,-0.0581,0.9773,0.984
43.1740,0.0949,-0.0586,0.9783,0.985
43.1750,0.0934,-0.0566,0.9813,0.987
43.1770,0.0910,-0.0581,0.9822,0.988
43.1810,0.0890,-0.0586,0.9837,0.989
43.1830,0.0920,-0.0566,0.9881,0.994
43.1930,0.0920,-0.0571,0.9876,0.994
43.1940,0.0920,-0.0581,0.9881,0.994
43.1940,0.0895,-0.0576,0.9852,0.991
43.1940,0.0900,-0.0561,0.9842,0.990
43.1950,0.0905,-0.0566,0.9827,0.989
43.1980,0.0905,-0.0571,0.9793,0.985
43.2010,0.0900,-0.0561,0.9788,0.985
43.2090,0.0895,-0.0552,0.9769,0.983
43.2090,0.0900,-0.0556,0.9739,0.980
43.2100,0.0890,-0.0581,0.9725,0.978
43.2100,0.0866,-0.0581,0.9700,0.976
43.2130,0.0881,-0.0605,0.9700,0.976
43.2160,0.0861,-0.0615,0.9739,0.980
43.2250,0.0837,-0.0615,0.9764,0.982
43.2250,0.0837,-0.0630,0.9798,0.985
43.2250,0.0837,-0.0639,0.9822,0.988
43.2260,0.0832,-0.0644,0.9832,0.989
43.2280,0.0851,-0.0654,0.9852,0.991
43.2300,0.0861,-0.0635,0.9857,0.991
43.2310,0.0832,-0.0639,0.9861,0.992
43.2390,0.0837,-0.0649,0.9891,0.995
43.2400,0.0837,-0.0639,0.9901,0.996
43.2400,0.0837,-0.0620,0.9886,0.994
43.2480,0.0832,-0.0635,0.9847,0.990
43.2480,0.0832,-0.0610,0.9822,0.988
43.2490,0.0866,-0.0595,0.9788,0.984
43.2580,0.0871,-0.0586,0.9788,0.984
43.2590,0.0861,-0.0595,0.9778,0.983
43.2590,0.0856,-0.0605,0.9793,0.985
43.2590,0.0851,-0.0620,0.9808,0.986
43.2640,0.0847,-0.0620,0.9837,0.989
43.2640,0.0847,-0.0644,0.9861,0.992
43.2650,0.0861,-0.0644,0.9871,0.993
43.2690,0.0856,-0.0635,0.9905,0.996
43.2750,0.0861,-0.0635,0.9925,0.998
43.2760,0.0866,-0.0630,0.9915,0.997
43.2760,0.0876,-0.0620,0.9901,0.996
43.2770,0.0866,-0.0630,0.9881,0.994
43.2850,0.0871,-0.0620,0.9847,0.990
43.2850,0.0866,-0.0600,0.9827,0.988
43.2890,0.0886,-0.0600,0.9773,0.983
43.2900,0.0895,-0.0586,0.9744,0.980
43.2900,0.0895,-0.0581,0.9705,0.976
43.2940,0.0900,-0.0595,0.9686,0.975
43.2950,0.0890,-0.0595,0.9671,0.973
43.2970,0.0895,-0.0595,0.9676,0.974
43.3000,0.0881,-0.0595,0.9715,0.977
43.3060,0.0876,-0.0610,0.9725,0.978
43.3060,0.0871,-0.0610,0.9754,0.981
43.3080,0.0876,-0.0615,0.9783,0.984
43.3100,0.0876,-0.0630,0.9803,0.986
43.3120,0.0876,-0.0649,0.9832,0.989
43.3150,0.0881,-0.0639,0.9861,0.992
43.3160,0.0866,-0.0639,0.9881,0.994
43.3220,0.0856,-0.0649,0.9896,0.995
43.3220,0.0866,-0.0654,0.9891,0.995
43.3250,0.0881,-0.0654,0.9901,0.996
43.3270,0.0886,-0.0644,0.9861,0.992
43.3300,0.0886,-0.0625,0.9866,0.993
43.3320,0.0895,-0.0615,0.9837,0.990
43.3350,0.0905,-0.0600,0.9822,0.988
43.3370,0.0915,-0.0605,0.9837,0.990
43.3410,0.0910,-0.0600,0.9817,0.988
43.3410,0.0910,-0.0625,0.9832,0.989
43.3440,0.0905,-0.0644,0.9857,0.992
43.3460,0.0934,-0.0635,0.9876,0.994
43.3510,0.0944,-0.0649,0.9905,0.997
43.3560,0.0944,-0.0639,0.9896,0.996
43.3560,0.0920,-0.0649,0.9905,0.997
43.3570,0.0930,-0.0664,0.9920,0.999
43.3610,0.0949,-0.0664,0.9940,1.001
43.3620,0.0944,-0.0654,0.9930,1.000
43.3640,0.0964,-0.0659,0.9920,0.999
43.3680,0.0969,-0.0669,0.9910,0.998
43.3710,0.0969,-0.0664,0.9891,0.996
43.3710,0.0983,-0.0654,0.9866,0.994
43.3760,0.0988,-0.0654,0.9852,0.992
43.3770,0.0993,-0.0659,0.9857,0.993
43.3800,0.0974,-0.0664,0.9847,0.992
43.3820,0.0959,-0.0664,0.9866,0.994
43.3860,0.0959,-0.0683,0.9886,0.996
43.3860,0.0974,-0.0688,0.9901,0.997
43.3890,0.0978,-0.0703,0.9910,0.998
43.3910,0.0978,-0.0693,0.9925,1.000
43.3970,0.0993,-0.0703,0.9940,1.001
43.3980,0.0978,-0.0698,0.9954,1.003
43.4020,0.0978,-0.0698,0.9954,1.003
43.4090,0.0983,-0.0708,0.9944,1.002
43.4100,0.0974,-0.0703,0.9910,0.998
43.4100,0.0969,-0.0674,0.9876,0.995
43.4110,0.1003,-0.0664,0.9852,0.992
43.4110,0.0988,-0.0679,0.9822,0.990
43.4150,0.0978,-0.0693,0.9793,0.987
43.4190,0.0988,-0.0698,0.9778,0.985
43.4200,0.0974,-0.0698,0.9788,0.986
43.4300,0.0954,-0.0713,0.9817,0.989
43.4310,0.0954,-0.0737,0.9857,0.993
43.4310,0.0949,-0.0747,0.9891,0.996
43.4320,0.0969,-0.0747,0.9935,1.001
43.4320,0.0944,-0.0737,0.9964,1.004
43.4490,0.0944,-0.0747,0.9984,1.006
43.4490,0.0949,-0.0752,1.0013,1.009
43.4500,0.0959,-0.0742,1.0018,1.009
43.4500,0.0934,-0.0723,1.0008,1.008
43.4500,0.0954,-0.0727,0.9979,1.005
43.4510,0.0949,-0.0723,0.9959,1.003
43.4510,0.0974,-0.0713,0.9935,1.001
43.4530,0.0969,-0.0679,0.9881,0.995
43.4550,0.0969,-0.0664,0.9827,0.990
43.4570,0.0983,-0.0664,0.9788,0.986
43.4590,0.0969,-0.0674,0.9778,0.985
43.4600,0.0974,-0.0683,0.9769,0.984
43.4650,0.0964,-0.0679,0.9788,0.986
43.4650,0.0939,-0.0693,0.9817,0.989
