time,gFx,gFy,gFz,TgF
0.2850,0.0646,-0.0508,1.0013,1.005
0.2850,0.0656,-0.0508,0.9993,1.003
0.2850,0.0661,-0.0517,0.9984,1.002
0.2890,0.0656,-0.0527,0.9969,1.000
0.2920,0.0627,-0.0488,0.9935,0.997
0.2920,0.0627,-0.0468,0.9905,0.994
0.2960,0.0617,-0.0478,0.9905,0.994
0.3000,0.0602,-0.0488,0.9920,0.995
0.3000,0.0588,-0.0493,0.9896,0.993
0.3040,0.0568,-0.0468,0.9910,0.994
0.3060,0.0524,-0.0468,0.9930,0.995
0.3070,0.0524,-0.0464,0.9964,0.999
0.3110,0.0529,-0.0444,1.0018,1.004
0.3170,0.0500,-0.0439,1.0042,1.006
0.3170,0.0480,-0.0439,1.0023,1.004
0.3170,0.0475,-0.0444,1.0032,1.005
0.3220,0.0480,-0.0439,1.0018,1.004
0.3220,0.0480,-0.0444,0.9993,1.001
0.3270,0.0495,-0.0429,0.9979,1.000
0.3290,0.0509,-0.0420,0.9979,1.000
0.3330,0.0470,-0.0405,0.9949,0.997
0.3340,0.0465,-0.0410,0.9901,0.992
0.3360,0.0470,-0.0400,0.9876,0.990
0.3390,0.0500,-0.0405,0.9852,0.987
0.3410,0.0495,-0.0415,0.9832,0.985
0.3420,0.0470,-0.0405,0.9817,0.984
0.3470,0.0470,-0.0420,0.9847,0.987
0.3510,0.0470,-0.0429,0.9876,0.990
0.3520,0.0461,-0.0464,0.9876,0.990
0.3520,0.0451,-0.0464,0.9896,0.992
0.3570,0.0451,-0.0468,0.9930,0.995
0.3590,0.0456,-0.0483,0.9954,0.998
0.3600,0.0446,-0.0493,0.9944,0.997
0.3630,0.0451,-0.0498,0.9954,0.998
0.3760,0.0465,-0.0478,0.9949,0.997
0.3760,0.0456,-0.0498,0.9935,0.996
0.3760,0.0475,-0.0508,0.9905,0.993
0.3760,0.0495,-0.0508,0.9886,0.991
0.3770,0.0519,-0.0508,0.9871,0.990
0.3800,0.0534,-0.0512,0.9871,0.990
0.3800,0.0539,-0.0493,0.9822,0.985
0.3870,0.0548,-0.0503,0.9803,0.983
0.3880,0.0553,-0.0512,0.9788,0.982
0.3880,0.0553,-0.0517,0.9788,0.982
0.3910,0.0558,-0.0522,0.9817,0.985
0.3960,0.0563,-0.0537,0.9857,0.989
0.4010,0.0568,-0.0547,0.9891,0.992
0.4090,0.0568,-0.0542,0.9915,0.995
0.4100,0.0588,-0.0542,0.9915,0.995
0.4100,0.0602,-0.0542,0.9940,0.997
0.4100,0.0588,-0.0532,0.9935,0.997
0.4100,0.0607,-0.0532,0.9949,0.998
0.4100,0.0607,-0.0532,0.9964,1.000
0.4170,0.0602,-0.0512,0.9954,0.999
0.4170,0.0602,-0.0522,0.9920,0.995
0.4170,0.0607,-0.0508,0.9905,0.994
0.4200,0.0588,-0.0483,0.9881,0.991
0.4220,0.0602,-0.0488,0.9886,0.992
0.4240,0.0597,-0.0488,0.9886,0.992
0.4280,0.0563,-0.0478,0.9871,0.990
0.4310,0.0558,-0.0454,0.9861,0.989
0.4330,0.0558,-0.0478,0.9871,0.990
0.4350,0.0563,-0.0478,0.9891,0.992
0.4370,0.0553,-0.0503,0.9920,0.995
0.4400,0.0563,-0.0493,0.9944,0.997
0.4430,0.0553,-0.0464,0.9935,0.996
0.4450,0.0568,-0.0483,0.9940,0.997
0.4480,0.0563,-0.0498,0.9944,0.997
0.4500,0.0563,-0.0483,0.9925,0.995
0.4560,0.0573,-0.0488,0.9920,0.995
0.4560,0.0548,-0.0498,0.9901,0.993
0.4590,0.0568,-0.0488,0.9891,0.992
0.4600,0.0563,-0.0503,0.9866,0.990
0.4770,0.0568,-0.0488,0.9852,0.988
0.4770,0.0568,-0.0512,0.9832,0.986
0.4770,0.0568,-0.0503,0.9847,0.988
0.4770,0.0553,-0.0517,0.9852,0.988
0.4780,0.0553,-0.0512,0.9871,0.990
0.4780,0.0558,-0.0532,0.9896,0.993
0.4780,0.0524,-0.0566,0.9930,0.996
0.4810,0.0539,-0.0561,0.9954,0.998
0.4820,0.0539,-0.0561,0.9969,1.000
0.4850,0.0519,-0.0571,0.9959,0.999
0.4860,0.0529,-0.0591,0.9949,0.998
0.4910,0.0563,-0.0566,0.9959,0.999
0.4930,0.0553,-0.0571,0.9969,1.000
0.4970,0.0553,-0.0566,0.9940,0.997
0.4980,0.0534,-0.0571,0.9925,0.996
0.4990,0.0553,-0.0571,0.9905,0.994
0.5020,0.0539,-0.0552,0.9861,0.989
0.5050,0.0529,-0.0556,0.9852,0.988
0.5080,0.0553,-0.0561,0.9852,0.988
0.5090,0.0539,-0.0586,0.9861,0.989
0.5120,0.0529,-0.0586,0.9857,0.989
0.5160,0.0519,-0.0586,0.9861,0.989
0.5160,0.0524,-0.0591,0.9896,0.993
0.5210,0.0529,-0.0605,0.9896,0.993
0.5210,0.0529,-0.0610,0.9915,0.995
0.5260,0.0514,-0.0600,0.9949,0.998
0.5280,0.0504,-0.0605,0.9944,0.998
0.5320,0.0519,-0.0615,0.9949,0.998
0.5330,0.0514,-0.0591,0.9944,0.998
0.5370,0.0524,-0.0586,0.9930,0.996
0.5370,0.0529,-0.0586,0.9944,0.998
0.5420,0.0534,-0.0561,0.9925,0.996
0.5430,0.0529,-0.0561,0.9881,0.991
0.5470,0.0553,-0.0561,0.9857,0.989
0.5630,0.0548,-0.0547,0.9842,0.987
0.5640,0.0534,-0.0537,0.9842,0.987
0.5640,0.0529,-0.0527,0.9852,0.988
0.5650,0.0529,-0.0552,0.9847,0.988
0.5650,0.0524,-0.0561,0.9876,0.991
0.5650,0.0534,-0.0561,0.9915,0.995
0.5670,0.0524,-0.0547,0.9935,0.996
0.5680,0.0519,-0.0552,0.9954,0.998
0.5680,0.0524,-0.0547,0.9959,0.999
0.5710,0.0534,-0.0537,0.9959,0.999
0.5710,0.0548,-0.0532,0.9974,1.000
0.5750,0.0553,-0.0532,0.9974,1.000
0.5770,0.0573,-0.0517,0.9944,0.997
0.5840,0.0583,-0.0522,0.9905,0.994
0.5850,0.0592,-0.0493,0.9866,0.990
0.5850,0.0597,-0.0478,0.9822,0.985
0.5890,0.0602,-0.0483,0.9817,0.985
0.5910,0.0588,-0.0488,0.9788,0.982
0.5910,0.0592,-0.0488,0.9803,0.983
0.5950,0.0588,-0.0473,0.9822,0.985
0.6010,0.0553,-0.0488,0.9847,0.987
0.6010,0.0544,-0.0498,0.9852,0.988
0.6020,0.0544,-0.0512,0.9876,0.990
0.6060,0.0544,-0.0508,0.9920,0.995
0.6080,0.0553,-0.0503,0.9954,0.998
0.6080,0.0563,-0.0508,0.9979,1.001
0.6130,0.0573,-0.0512,0.9998,1.003
0.6160,0.0553,-0.0503,0.9984,1.001
0.6160,0.0558,-0.0503,0.9964,0.999
0.6210,0.0558,-0.0498,0.9949,0.998
0.6210,0.0592,-0.0473,0.9944,0.997
0.6240,0.0612,-0.0478,0.9910,0.994
0.6280,0.0617,-0.0493,0.9896,0.993
0.6300,0.0588,-0.0478,0.9861,0.989
0.6450,0.0568,-0.0473,0.9871,0.990
0.6460,0.0573,-0.0493,0.9876,0.990
0.6460,0.0583,-0.0483,0.9881,0.991
0.6460,0.0568,-0.0483,0.9881,0.991
0.6470,0.0583,-0.0493,0.9901,0.993
0.6470,0.0588,-0.0493,0.9925,0.995
0.6470,0.0578,-0.0498,0.9949,0.998
0.6500,0.0558,-0.0508,0.9974,1.000
0.6510,0.0558,-0.0488,0.9979,1.001
0.6550,0.0558,-0.0488,0.9969,1.000
0.6550,0.0578,-0.0478,0.9984,1.001
0.6590,0.0588,-0.0488,0.9964,0.999
0.6620,0.0588,-0.0483,0.9930,0.996
0.6650,0.0578,-0.0473,0.9910,0.994
0.6680,0.0602,-0.0459,0.9876,0.991
0.6680,0.0612,-0.0439,0.9847,0.988
0.6710,0.0602,-0.0444,0.9837,0.987
