time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
1.453,-0.32,-0.03,0.94,0.00,0.01,-0.01,0.00,0.00,0.00,0.00
1.51,-0.32,-0.03,0.94,0.00,0.01,-0.01,0.00,0.00,0.00,0.00
1.515,-0.32,-0.03,0.94,0.00,0.01,-0.01,0.00,0.00,0.00,0.00
1.518,-0.32,-0.03,0.94,-0.01,0.00,-0.00,0.00,0.00,0.00,0.00
1.576,-0.32,-0.03,0.94,-0.01,0.00,-0.00,0.00,0.00,-0.00,0.00
1.578,-0.32,-0.03,0.94,-0.01,0.00,-0.00,0.00,0.00,-0.00,0.00
1.578,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00
1.627,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00
1.632,-0.32,-0.03,0.94,0.01,0.00,-0.00,0.00,0.00,-0.00,0.00
1.635,-0.32,-0.03,0.94,0.01,0.00,-0.00,0.00,0.00,0.00,0.00
1.686,-0.32,-0.03,0.94,0.01,0.00,-0.00,0.00,0.00,0.00,0.00
1.689,-0.32,-0.03,0.94,0.01,0.00,-0.00,0.00,0.00,0.00,0.00
1.69,-0.32,-0.03,0.94,-0.00,-0.00,-0.01,0.00,0.00,0.00,0.00
1.746,-0.32,-0.03,0.94,-0.00,-0.00,-0.01,-0.00,0.00,0.00,0.00
1.748,-0.32,-0.03,0.94,-0.00,-0.00,-0.01,-0.00,0.00,0.00,0.00
1.748,-0.32,-0.03,0.94,-0.00,0.00,-0.01,-0.00,0.00,0.00,0.00
1.806,-0.32,-0.03,0.94,-0.00,0.00,-0.01,0.00,0.00,0.00,0.00
1.807,-0.32,-0.03,0.94,-0.00,0.00,-0.01,0.00,0.00,0.00,0.00
1.807,-0.32,-0.03,0.94,0.00,0.00,-0.00,0.00,0.00,0.00,0.00
1.864,-0.32,-0.03,0.94,0.00,0.00,-0.00,0.00,0.00,0.00,0.00
1.867,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00
1.869,-0.32,-0.03,0.94,0.00,0.00,0.00,-0.00,0.00,0.00,0.00
1.998,-0.32,-0.03,0.94,0.00,0.00,0.00,-0.00,0.00,0.00,0.00
2.0,-0.32,-0.03,0.94,0.00,0.00,0.00,-0.00,0.00,0.00,0.00
2.001,-0.32,-0.03,0.94,-0.00,0.01,-0.01,-0.00,0.00,0.00,0.00
2.044,-0.32,-0.03,0.94,-0.00,0.01,-0.01,-0.00,0.00,0.00,0.00
2.045,-0.32,-0.03,0.94,-0.00,0.01,-0.01,-0.00,0.00,0.00,0.00
2.046,-0.32,-0.03,0.94,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00
2.116,-0.32,-0.03,0.94,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00
2.117,-0.32,-0.03,0.94,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00
2.118,-0.32,-0.03,0.94,0.01,0.00,-0.00,-0.00,0.00,0.00,0.00
2.179,-0.32,-0.03,0.94,0.01,0.00,-0.00,-0.00,0.00,0.00,0.00
2.18,-0.32,-0.03,0.94,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00
2.18,-0.32,-0.03,0.94,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00
2.232,-0.32,-0.03,0.94,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00
2.25,-0.32,-0.03,0.94,-0.01,0.00,-0.00,-0.00,0.00,0.00,0.00
2.251,-0.32,-0.03,0.94,-0.01,0.00,-0.00,-0.00,-0.00,-0.00,0.00
2.288,-0.32,-0.03,0.94,-0.01,0.00,-0.00,-0.00,-0.00,-0.00,0.00
2.289,-0.32,-0.03,0.94,-0.01,0.00,-0.00,-0.00,-0.00,-0.00,0.00
2.29,-0.32,-0.03,0.94,-0.01,0.00,-0.00,-0.00,-0.00,-0.00,0.00
2.344,-0.32,-0.03,0.94,-0.01,0.00,-0.00,-0.00,-0.00,-0.00,0.00
2.345,-0.32,-0.03,0.94,0.00,0.01,-0.00,-0.00,-0.00,-0.00,0.00
2.346,-0.32,-0.03,0.94,0.00,0.01,-0.00,-0.00,-0.00,-0.00,0.00
2.403,-0.32,-0.03,0.94,0.00,0.01,-0.00,-0.00,-0.00,-0.00,0.00
2.405,-0.32,-0.03,0.94,0.00,0.01,-0.00,-0.00,-0.00,-0.00,0.00
2.405,-0.32,-0.03,0.94,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00
2.463,-0.32,-0.03,0.94,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00
2.466,-0.32,-0.03,0.94,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00
2.468,-0.32,-0.03,0.94,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00
2.59,-0.32,-0.03,0.94,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00
2.592,-0.32,-0.03,0.94,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00
2.594,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00
2.642,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00
2.645,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00
2.647,-0.32,-0.03,0.94,0.00,0.00,-0.01,-0.00,-0.00,-0.00,0.00
2.701,-0.32,-0.03,0.94,0.00,0.00,-0.01,-0.00,-0.00,-0.00,0.00
2.704,-0.32,-0.03,0.94,0.00,0.00,-0.01,-0.00,-0.00,0.00,0.00
2.705,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00
2.761,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00
2.764,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00
2.766,-0.32,-0.03,0.94,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00
2.82,-0.32,-0.03,0.94,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00
2.822,-0.32,-0.03,0.94,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00
2.827,-0.32,-0.03,0.94,-0.00,0.00,-0.01,-0.00,0.00,-0.00,0.00
2.881,-0.32,-0.03,0.94,-0.00,0.00,-0.01,-0.00,0.00,0.00,0.00
2.883,-0.32,-0.03,0.94,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00
2.883,-0.32,-0.03,0.94,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00
2.941,-0.32,-0.03,0.94,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00
2.944,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00
2.945,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00
3.0,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00
3.002,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00
3.003,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00
3.121,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00
3.126,-0.32,-0.03,0.94,-0.01,0.00,-0.00,-0.00,0.00,0.00,0.00
3.128,-0.32,-0.03,0.94,-0.01,0.00,-0.00,-0.00,-0.00,0.00,0.00
3.179,-0.32,-0.03,0.94,-0.01,0.00,-0.00,-0.00,-0.00,0.00,0.00
