time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
1.439,-0.07,-0.07,0.99,0.05,-0.07,0.04,0.00,0.01,0.00,0.00
1.442,-0.07,-0.07,0.99,0.03,-0.06,0.04,0.00,0.01,0.00,0.00
1.479,-0.07,-0.07,0.99,0.03,-0.06,0.04,0.00,0.00,-0.00,0.00
1.5,-0.08,-0.07,1.00,0.03,-0.06,0.04,0.00,0.00,-0.00,0.00
1.502,-0.08,-0.07,1.00,0.02,-0.06,0.02,0.00,0.00,-0.00,0.00
1.538,-0.08,-0.07,1.00,0.02,-0.06,0.02,0.00,0.01,0.00,0.00
1.579,-0.08,-0.07,1.00,-0.01,-0.06,0.06,0.00,0.01,0.00,0.00
1.58,-0.07,-0.07,1.00,-0.01,-0.06,0.06,0.00,0.01,0.00,0.00
1.618,-0.07,-0.07,1.00,-0.01,-0.06,0.06,0.00,0.00,-0.00,0.00
1.646,-0.07,-0.07,1.00,-0.01,-0.06,0.06,0.00,0.00,-0.00,0.00
1.648,-0.07,-0.07,1.00,0.03,-0.08,0.08,0.00,0.00,-0.00,0.00
1.677,-0.07,-0.07,1.00,0.03,-0.08,0.08,0.00,0.01,0.00,0.00
1.7,-0.07,-0.07,1.00,0.03,-0.08,0.08,0.00,0.01,0.00,0.00
1.703,-0.07,-0.07,1.00,0.01,-0.07,0.05,0.00,0.01,0.00,0.00
1.737,-0.07,-0.07,1.00,0.01,-0.07,0.05,0.00,0.01,0.00,0.00
1.778,-0.07,-0.07,1.00,0.02,-0.07,0.02,0.00,0.01,0.00,0.00
1.78,-0.07,-0.07,0.99,0.02,-0.07,0.02,0.00,0.01,0.00,0.00
1.818,-0.07,-0.07,0.99,0.02,-0.07,0.02,0.00,0.00,-0.00,0.00
1.837,-0.08,-0.08,0.99,0.02,-0.07,0.02,0.00,0.00,-0.00,0.00
1.839,-0.08,-0.08,0.99,0.06,-0.07,-0.05,0.00,0.00,-0.00,0.00
1.878,-0.08,-0.08,0.99,0.06,-0.07,-0.05,0.00,0.01,0.00,0.00
1.899,-0.08,-0.08,0.99,0.06,-0.07,-0.05,0.00,0.01,0.00,0.00
1.901,-0.08,-0.08,0.99,-0.02,-0.09,-0.04,0.00,0.01,0.00,0.00
1.957,-0.08,-0.08,0.99,-0.02,-0.09,-0.04,0.00,0.01,0.00,0.00
1.977,-0.08,-0.08,0.99,-0.02,-0.09,-0.04,0.00,0.01,0.00,0.00
1.978,-0.08,-0.08,0.99,-0.06,-0.08,-0.06,0.00,0.01,0.00,0.00
2.016,-0.08,-0.08,0.99,-0.06,-0.08,-0.06,0.00,0.00,0.00,0.00
2.035,-0.09,-0.07,0.99,-0.06,-0.08,-0.06,0.00,0.00,0.00,0.00
2.036,-0.09,-0.07,0.99,-0.06,-0.06,-0.05,0.00,0.00,0.00,0.00
2.076,-0.09,-0.07,0.99,-0.06,-0.06,-0.05,-0.00,0.00,0.00,0.00
2.097,-0.08,-0.08,0.98,-0.06,-0.06,-0.05,-0.00,0.00,0.00,0.00
2.098,-0.08,-0.08,0.98,-0.08,-0.05,-0.04,-0.00,0.00,0.00,0.00
2.156,-0.08,-0.08,0.98,-0.08,-0.05,-0.04,-0.00,-0.00,-0.00,0.00
2.177,-0.08,-0.08,0.98,-0.08,-0.05,-0.04,-0.00,-0.00,-0.00,0.00
2.18,-0.08,-0.08,0.98,-0.06,-0.07,-0.06,-0.00,-0.00,-0.00,0.00
2.215,-0.08,-0.08,0.98,-0.06,-0.07,-0.06,-0.00,0.00,-0.00,0.00
2.235,-0.08,-0.08,0.98,-0.02,-0.06,-0.08,-0.00,0.00,-0.00,0.00
2.236,-0.08,-0.08,0.98,-0.02,-0.06,-0.08,-0.00,0.00,-0.00,0.00
2.275,-0.08,-0.08,0.98,-0.02,-0.06,-0.08,0.00,-0.00,-0.00,0.00
2.295,-0.07,-0.08,0.99,-0.02,-0.06,-0.08,0.00,-0.00,-0.00,0.00
2.295,-0.07,-0.08,0.99,-0.00,-0.07,-0.06,0.00,-0.00,-0.00,0.00
2.356,-0.07,-0.08,0.99,-0.00,-0.07,-0.06,0.00,-0.00,0.00,0.00
2.375,-0.07,-0.08,0.99,-0.00,-0.07,-0.06,0.00,-0.00,0.00,0.00
2.376,-0.07,-0.08,0.99,0.05,-0.07,-0.02,0.00,-0.00,0.00,0.00
2.414,-0.07,-0.08,0.99,0.05,-0.07,-0.02,0.00,-0.01,-0.00,0.00
2.435,-0.08,-0.08,0.99,0.05,-0.07,-0.02,0.00,-0.01,-0.00,0.00
2.436,-0.08,-0.08,0.99,0.04,-0.07,-0.01,0.00,-0.01,-0.00,0.00
2.475,-0.08,-0.08,0.99,0.04,-0.07,-0.01,0.00,-0.00,-0.00,0.00
2.495,-0.08,-0.08,1.00,0.04,-0.07,-0.01,0.00,-0.00,-0.00,0.00
2.497,-0.08,-0.08,1.00,0.00,-0.05,0.05,0.00,-0.00,-0.00,0.00
2.554,-0.08,-0.08,1.00,0.00,-0.05,0.05,0.00,0.01,0.00,0.00
2.575,-0.08,-0.08,0.99,0.00,-0.05,0.05,0.00,0.01,0.00,0.00
2.577,-0.08,-0.08,0.99,-0.06,-0.03,0.07,0.00,0.01,0.00,0.00
2.613,-0.08,-0.08,0.99,-0.06,-0.03,0.07,0.00,0.00,0.00,0.00
2.635,-0.09,-0.08,0.99,-0.06,-0.03,0.07,0.00,0.00,0.00,0.00
